DATE,VIXCLS_DGS10
2017-01-30,4.7710843373493976
2017-01-31,4.8938775510204082
2017-02-01,4.7620967741935484
2017-02-02,4.8104838709677419
2017-02-03,4.4056224899598394
2017-02-06,4.6983471074380165
2017-02-07,4.7041666666666667
2017-02-08,4.8931623931623932
2017-02-09,4.5333333333333333
2017-02-10,4.5020746887966805
2017-02-13,4.5555555555555556
2017-02-14,4.3481781376518219
2017-02-15,4.7689243027888446
2017-02-16,4.8000000000000000
2017-02-17,4.7479338842975207
2017-02-20,.
2017-02-21,4.7613168724279835
2017-02-22,4.8512396694214876
2017-02-23,4.9201680672268908
2017-02-24,4.9653679653679654
2017-02-27,5.1228813559322034
2017-02-28,5.4745762711864407
2017-03-01,5.0975609756097561
2017-03-02,4.7429718875502008
2017-03-03,4.4016064257028112
2017-03-06,4.5140562248995984
2017-03-07,4.5436507936507937
2017-03-08,4.6147859922178988
2017-03-09,4.7307692307692308
2017-03-10,4.5193798449612403
2017-03-13,4.3320610687022901
2017-03-14,4.7307692307692308
2017-03-15,4.6334661354581673
2017-03-16,4.4308300395256917
2017-03-17,4.5120000000000000
2017-03-20,4.5910931174089069
2017-03-21,5.1316872427983539
2017-03-22,5.3375000000000000
2017-03-23,5.4439834024896266
2017-03-24,5.4000000000000000
2017-03-27,5.2521008403361345
2017-03-28,4.7644628099173554
2017-03-29,4.7782426778242678
2017-03-30,4.7685950413223140
2017-03-31,5.1541666666666667
2017-04-03,5.2680851063829787
2017-04-04,4.9957627118644068
2017-04-05,5.5085470085470085
2017-04-06,5.2948717948717949
2017-04-07,5.4075630252100840
2017-04-10,5.9282700421940928
2017-04-11,6.4956896551724138
2017-04-12,6.9166666666666667
2017-04-13,7.1250000000000000
2017-04-14,.
2017-04-17,6.4867256637168142
2017-04-18,6.6146788990825688
2017-04-19,6.7556561085972851
2017-04-20,6.3169642857142857
2017-04-21,6.5312500000000000
2017-04-24,4.7543859649122807
2017-04-25,4.5787234042553191
2017-04-26,4.6767241379310345
2017-04-27,4.5043478260869565
2017-04-28,4.7248908296943231
2017-05-01,4.3390557939914163
2017-05-02,4.6244541484716157
2017-05-03,4.5836909871244635
2017-05-04,4.4322033898305085
2017-05-05,4.4788135593220339
2017-05-08,4.0878661087866109
2017-05-09,4.1157024793388430
2017-05-10,4.2365145228215768
2017-05-11,4.4351464435146444
2017-05-12,4.4635193133047210
2017-05-15,4.4529914529914530
2017-05-16,4.5708154506437768
2017-05-17,7.0225225225225225
2017-05-18,6.5739910313901345
2017-05-19,5.3991031390134529
2017-05-22,4.8577777777777778
2017-05-23,4.6812227074235808
2017-05-24,4.4336283185840708
2017-05-25,4.4400000000000000
2017-05-26,4.3600000000000000
2017-05-29,.
2017-05-30,4.6968325791855204
2017-05-31,4.7104072398190045
2017-06-01,4.4751131221719457
2017-06-02,4.5348837209302326
2017-06-05,4.6192660550458716
2017-06-06,4.8831775700934579
2017-06-07,4.7660550458715596
2017-06-08,4.6392694063926941
2017-06-09,4.8416289592760181
2017-06-12,5.1855203619909502
2017-06-13,4.7149321266968326
2017-06-14,4.9488372093023256
2017-06-15,5.0462962962962963
2017-06-16,4.8055555555555556
2017-06-19,4.7351598173515982
2017-06-20,5.0277777777777778
2017-06-21,4.9768518518518519
2017-06-22,4.8744186046511628
2017-06-23,4.6604651162790698
2017-06-26,4.6261682242990654
2017-06-27,5.0045248868778281
2017-06-28,4.5180180180180180
2017-06-29,5.0396475770925110
2017-06-30,4.8398268398268398
2017-07-03,4.7744680851063830
2017-07-04,.
2017-07-05,4.7510729613733906
2017-07-06,5.2911392405063291
2017-07-07,4.6820083682008368
2017-07-10,4.6680672268907563
2017-07-11,4.5949367088607595
2017-07-12,4.4206008583690987
2017-07-13,4.2127659574468085
2017-07-14,4.0815450643776824
2017-07-17,4.2510822510822511
2017-07-18,4.3568281938325991
2017-07-19,4.3127753303964758
2017-07-20,4.2202643171806167
2017-07-21,4.1785714285714286
2017-07-24,4.1725663716814159
2017-07-25,4.0472103004291845
2017-07-26,4.1921397379912664
2017-07-27,4.3577586206896552
2017-07-28,4.4739130434782609
2017-07-31,4.4608695652173913
2017-08-01,4.4646017699115044
2017-08-02,4.5286343612334802
2017-08-03,4.6607142857142857
2017-08-04,4.4185022026431718
2017-08-07,4.3938053097345133
2017-08-08,4.7860262008733624
2017-08-09,4.9598214285714286
2017-08-10,7.2909090909090909
2017-08-11,7.0821917808219178
2017-08-14,5.5540540540540541
2017-08-15,5.3039647577092511
2017-08-16,5.2645739910313901
2017-08-17,7.1004566210045662
2017-08-18,6.5114155251141553
2017-08-21,6.0504587155963303
2017-08-22,5.1126126126126126
2017-08-23,5.6451612903225806
2017-08-24,5.5844748858447489
2017-08-25,5.1981566820276498
2017-08-28,5.2407407407407407
2017-08-29,5.4929577464788732
2017-08-30,5.2186046511627907
2017-08-31,4.9952830188679245
2017-09-01,4.6898148148148148
2017-09-04,.
2017-09-05,5.9082125603864734
2017-09-06,5.5380952380952381
2017-09-07,5.6341463414634146
2017-09-08,5.8834951456310680
2017-09-11,5.0140186915887850
2017-09-12,4.8755760368663594
2017-09-13,4.7727272727272727
2017-09-14,4.7454545454545455
2017-09-15,4.6227272727272727
2017-09-18,4.5515695067264574
2017-09-19,4.5446428571428571
2017-09-20,4.2894736842105263
2017-09-21,4.2599118942731278
2017-09-22,4.2433628318584071
2017-09-25,4.5990990990990991
2017-09-26,4.5401785714285714
2017-09-27,4.2727272727272727
2017-09-28,4.1341991341991342
2017-09-29,4.0815450643776824
2017-10-02,4.0384615384615385
2017-10-03,4.0815450643776824
2017-10-04,4.1330472103004292
2017-10-05,3.9106382978723404
2017-10-06,4.0717299578059072
2017-10-09,.
2017-10-10,4.2893617021276596
2017-10-11,4.1914893617021277
2017-10-12,4.2532188841201717
2017-10-13,4.2149122807017544
2017-10-16,4.3086956521739130
2017-10-17,4.4826086956521739
2017-10-18,4.3034188034188034
2017-10-19,4.3133047210300429
2017-10-20,4.1715481171548117
2017-10-23,4.6512605042016807
2017-10-24,4.6115702479338843
2017-10-25,4.6024590163934426
2017-10-26,4.5934959349593496
2017-10-27,4.0495867768595041
2017-10-30,4.4303797468354430
2017-10-31,4.2773109243697479
2017-11-01,4.3037974683544304
2017-11-02,4.2255319148936170
2017-11-03,3.9059829059829060
2017-11-06,4.0517241379310345
2017-11-07,4.2629310344827586
2017-11-08,4.2155172413793103
2017-11-09,4.5064377682403433
2017-11-10,4.7041666666666667
2017-11-13,4.7916666666666667
2017-11-14,4.8697478991596639
2017-11-15,5.6351931330472103
2017-11-16,4.9620253164556962
2017-11-17,4.8638297872340426
2017-11-20,4.4936708860759494
2017-11-21,4.1228813559322034
2017-11-22,4.2586206896551724
2017-11-23,.
2017-11-24,4.1324786324786325
2017-11-27,4.2543103448275862
2017-11-28,4.2863247863247863
2017-11-29,4.5147679324894515
2017-11-30,4.6611570247933884
2017-12-01,4.8227848101265823
2017-12-04,4.9282700421940928
2017-12-05,4.8008474576271186
2017-12-06,4.7296137339055794
2017-12-07,4.2869198312236287
2017-12-08,4.0252100840336134
2017-12-11,3.9079497907949791
2017-12-12,4.1333333333333333
2017-12-13,4.3135593220338983
2017-12-14,4.4638297872340426
2017-12-15,4.0085106382978723
2017-12-18,3.9874476987447699
2017-12-19,4.0772357723577236
2017-12-20,3.9036144578313253
2017-12-21,3.8790322580645161
2017-12-22,3.9919354838709677
2017-12-25,.
2017-12-26,4.1497975708502024
2017-12-27,4.3264462809917355
2017-12-28,4.1893004115226337
2017-12-29,4.6000000000000000
2018-01-01,.
2018-01-02,3.9715447154471545
2018-01-03,3.7500000000000000
2018-01-04,3.7479674796747967
2018-01-05,3.7327935222672065
2018-01-08,3.8232931726907631
2018-01-09,3.9529411764705882
2018-01-10,3.8509803921568627
2018-01-11,3.8897637795275591
2018-01-12,3.9843137254901961
2018-01-15,.
2018-01-16,4.5905511811023622
2018-01-17,4.6342412451361868
2018-01-18,4.6641221374045802
2018-01-19,4.2689393939393939
2018-01-22,4.1466165413533835
2018-01-23,4.2205323193916350
2018-01-24,4.3283018867924528
2018-01-25,4.4030418250950570
2018-01-26,4.1654135338345865
2018-01-29,5.1259259259259259
2018-01-30,5.4175824175824176
2018-01-31,4.9779411764705882
2018-02-01,4.8453237410071942
2018-02-02,6.0950704225352113
2018-02-05,13.4729241877256318
2018-02-06,10.7455197132616487
2018-02-07,9.7640845070422535
2018-02-08,11.7403508771929825
2018-02-09,10.2685512367491166
2018-02-12,8.9545454545454545
2018-02-13,8.8233215547703180
