timeOpen,marketCap
2024-06-08 00:00:00+00:00,1365997475511.83
2024-06-07 00:00:00+00:00,1366686633129.09
2024-06-06 00:00:00+00:00,1394552080469.43
2024-06-05 00:00:00+00:00,1400900832469.81
2024-06-04 00:00:00+00:00,1390743617174.58
2024-06-03 00:00:00+00:00,1355956442572.83
2024-06-02 00:00:00+00:00,1335227914032.14
2024-06-01 00:00:00+00:00,1334337260766.87
2024-05-31 00:00:00+00:00,1329961627933.33
2024-05-30 00:00:00+00:00,1347131845678.66
2024-05-29 00:00:00+00:00,1331600056889.42
2024-05-28 00:00:00+00:00,1345757548563.5
2024-05-27 00:00:00+00:00,1367374775956.02
2024-05-26 00:00:00+00:00,1349968658779.99
2024-05-25 00:00:00+00:00,1364748567456.59
2024-05-24 00:00:00+00:00,1350188278440.89
2024-05-23 00:00:00+00:00,1338341012691.15
2024-05-22 00:00:00+00:00,1361828325233.73
2024-05-21 00:00:00+00:00,1381774907494.93
2024-05-20 00:00:00+00:00,1407508223127.28
2024-05-19 00:00:00+00:00,1305732230286.08
2024-05-18 00:00:00+00:00,1318742415299.47
2024-05-17 00:00:00+00:00,1321187121526.77
2024-05-16 00:00:00+00:00,1285007856222.27
2024-05-15 00:00:00+00:00,1305166889303.51
2024-05-14 00:00:00+00:00,1212512959206.07
2024-05-13 00:00:00+00:00,1239017433570.39
2024-05-12 00:00:00+00:00,1210435745366.84
2024-05-11 00:00:00+00:00,1197453013828.78
2024-05-10 00:00:00+00:00,1197421098168.55
2024-05-09 00:00:00+00:00,1241942293192.66
2024-05-08 00:00:00+00:00,1205202182090.81
2024-05-07 00:00:00+00:00,1227659657662.19
2024-05-06 00:00:00+00:00,1243984877329.17
2024-05-05 00:00:00+00:00,1261203911121.78
2024-05-04 00:00:00+00:00,1258304781123.06
2024-05-03 00:00:00+00:00,1238554321094.73
2024-05-02 00:00:00+00:00,1164330817512.3
2024-05-01 00:00:00+00:00,1147184157457.92
2024-04-30 00:00:00+00:00,1193544962108.24
2024-04-29 00:00:00+00:00,1257121259561.43
2024-04-28 00:00:00+00:00,1242661116273.87
2024-04-27 00:00:00+00:00,1248878755079.36
2024-04-26 00:00:00+00:00,1255299007879.53
2024-04-25 00:00:00+00:00,1269733248757.26
2024-04-24 00:00:00+00:00,1265561280453.39
2024-04-23 00:00:00+00:00,1307512895862.02
2024-04-22 00:00:00+00:00,1315994975669.26
2024-04-21 00:00:00+00:00,1278296008665.19
2024-04-20 00:00:00+00:00,1279569409422.42
2024-04-19 00:00:00+00:00,1257063743135.06
2024-04-18 00:00:00+00:00,1250301972763.52
2024-04-17 00:00:00+00:00,1206240184790.7
2024-04-16 00:00:00+00:00,1256510316191.79
2024-04-15 00:00:00+00:00,1248326445647.25
2024-04-14 00:00:00+00:00,1293922154520.65
2024-04-13 00:00:00+00:00,1256414309701.84
2024-04-12 00:00:00+00:00,1322318848762.9
2024-04-11 00:00:00+00:00,1378806199022.17
2024-04-10 00:00:00+00:00,1388869502130.74
2024-04-09 00:00:00+00:00,1360554169765.49
2024-04-08 00:00:00+00:00,1409529731787.86
2024-04-07 00:00:00+00:00,1364795785582.02
2024-04-06 00:00:00+00:00,1355566990096.02
2024-04-05 00:00:00+00:00,1334713625915.92
2024-04-04 00:00:00+00:00,1347932221575.71
2024-04-03 00:00:00+00:00,1297904385609.21
2024-04-02 00:00:00+00:00,1287439112104.0
2024-04-01 00:00:00+00:00,1371141394063.27
2024-03-31 00:00:00+00:00,1403108244335.61
2024-03-30 00:00:00+00:00,1369892136469.29
2024-03-29 00:00:00+00:00,1374656364302.31
2024-03-28 00:00:00+00:00,1391336144443.54
2024-03-27 00:00:00+00:00,1365860349594.74
2024-03-26 00:00:00+00:00,1376403313500.46
2024-03-25 00:00:00+00:00,1375150091236.61
2024-03-24 00:00:00+00:00,1322058484488.52
2024-03-23 00:00:00+00:00,1259788729090.63
2024-03-22 00:00:00+00:00,1254457600697.83
2024-03-21 00:00:00+00:00,1287574561970.88
2024-03-20 00:00:00+00:00,1335131959554.81
2024-03-19 00:00:00+00:00,1217479093665.71
2024-03-18 00:00:00+00:00,1328015048454.29
2024-03-17 00:00:00+00:00,1343978205472.65
2024-03-16 00:00:00+00:00,1283870289169.9
2024-03-15 00:00:00+00:00,1363928841106.55
2024-03-14 00:00:00+00:00,1403092953865.88
2024-03-13 00:00:00+00:00,1436271822605.71
2024-03-12 00:00:00+00:00,1404810311680.06
2024-03-11 00:00:00+00:00,1417380747795.66
