timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-10-08T00:00:00.000Z";"2024-10-08T23:59:59.999Z";"2024-10-08T14:03:00.000Z";"2024-10-08T19:16:00.000Z";"2781";62221.6451487376;63174.3062001171;61843.5636611283;62131.9678544148;28134475156.91;1228037977784.51;"2024-10-08T23:59:59.999Z"
"2024-10-07T00:00:00.000Z";"2024-10-07T23:59:59.999Z";"2024-10-07T14:25:00.000Z";"2024-10-07T23:01:00.000Z";"2781";62819.1093330048;64443.7064117964;62152.5517077403;62236.6593684009;34253562610.48;1229782194408.04;"2024-10-07T23:59:59.999Z"
"2024-10-06T00:00:00.000Z";"2024-10-06T23:59:59.999Z";"2024-10-06T19:31:00.000Z";"2024-10-06T04:43:00.000Z";"2781";62084.9865006411;62959.5685406335;61833.1500428486;62818.9544761374;14776233666.91;1241559389621.88;"2024-10-06T23:59:59.999Z"
"2024-10-05T00:00:00.000Z";"2024-10-05T23:59:59.999Z";"2024-10-05T13:13:00.000Z";"2024-10-05T03:04:00.000Z";"2781";62067.6104970553;62371.0236788776;61689.5811648998;62089.9484591443;13305410748.72;1227021845844.29;"2024-10-05T23:59:59.999Z"
"2024-10-04T00:00:00.000Z";"2024-10-04T23:59:59.999Z";"2024-10-04T20:56:00.000Z";"2024-10-04T00:55:00.000Z";"2781";60754.6251257523;62465.9907584451;60459.9398173621;62067.4774474519;29585472513.07;1226647958541.08;"2024-10-04T23:59:59.999Z"
"2024-10-03T00:00:00.000Z";"2024-10-03T23:59:59.999Z";"2024-10-03T04:01:00.000Z";"2024-10-03T13:19:00.000Z";"2781";60632.4862350431;61469.0371479302;59878.8034256844;60759.4013268768;36106447278.67;1200668382436.2;"2024-10-03T23:59:59.999Z"
"2024-10-02T00:00:00.000Z";"2024-10-02T23:59:59.999Z";"2024-10-02T16:08:00.000Z";"2024-10-02T19:47:00.000Z";"2781";60836.3246300866;62357.6867279553;59996.9473420048;60632.7862737945;40762722397.63;1198224649900.69;"2024-10-02T23:59:59.999Z"
"2024-10-01T00:00:00.000Z";"2024-10-01T23:59:59.999Z";"2024-10-01T07:40:00.000Z";"2024-10-01T20:42:00.000Z";"2781";63335.603583719;64110.9819990323;60189.278696888;60837.009700736;50220923499.58;1202222321937.7;"2024-10-01T23:59:59.999Z"
"2024-09-30T00:00:00.000Z";"2024-09-30T23:59:59.999Z";"2024-09-30T00:00:00.000Z";"2024-09-30T23:44:00.000Z";"2781";65634.6601298628;65635.052877058;62873.615868433;63329.4981294766;37112957474.81;1251461875405.87;"2024-09-30T23:59:59.999Z"
"2024-09-29T00:00:00.000Z";"2024-09-29T23:59:59.999Z";"2024-09-29T20:06:00.000Z";"2024-09-29T08:26:00.000Z";"2781";65888.8952714385;66069.3458132303;65450.0143671644;65635.3081461486;14788214574.54;1296984728119.06;"2024-09-29T23:59:59.999Z"
